I (4878) wifi_lib: DONE with packet: 1, SEQ: 0
I (47178) wifi_lib: DONE with packet: 1, SEQ: 232
I (47228) wifi_lib: DONE with packet: 2, SEQ: 232
I (47328) wifi_lib: DONE with packet: 1, SEQ: 233
I (47378) wifi_lib: DONE with packet: 2, SEQ: 233
I (47478) wifi_lib: DONE with packet: 1, SEQ: 234
I (47538) wifi_lib: DONE with packet: 2, SEQ: 234
I (47628) wifi_lib: DONE with packet: 1, SEQ: 235
I (47698) wifi_lib: DONE with packet: 2, SEQ: 235
I (47808) wifi_lib: DONE with packet: 1, SEQ: 236
I (47848) wifi_lib: DONE with packet: 2, SEQ: 236
I (47948) wifi_lib: DONE with packet: 1, SEQ: 237
I (47998) wifi_lib: DONE with packet: 2, SEQ: 237
I (48088) wifi_lib: DONE with packet: 1, SEQ: 238
I (48138) wifi_lib: DONE with packet: 2, SEQ: 238
I (48238) wifi_lib: DONE with packet: 1, SEQ: 239
I (48268) wifi_lib: DONE with packet: 2, SEQ: 239
I (48378) wifi_lib: DONE with packet: 1, SEQ: 240
I (48408) wifi_lib: DONE with packet: 2, SEQ: 240
I (48498) wifi_lib: DONE with packet: 1, SEQ: 241
I (48558) wifi_lib: DONE with packet: 2, SEQ: 241
I (48658) wifi_lib: DONE with packet: 1, SEQ: 242
I (48698) wifi_lib: DONE with packet: 2, SEQ: 242
I (48798) wifi_lib: DONE with packet: 1, SEQ: 243
I (48848) wifi_lib: DONE with packet: 2, SEQ: 243
I (48948) wifi_lib: DONE with packet: 1, SEQ: 244
I (48998) wifi_lib: DONE with packet: 2, SEQ: 244
I (49108) wifi_lib: DONE with packet: 1, SEQ: 245
I (49148) wifi_lib: DONE with packet: 2, SEQ: 245
I (49258) wifi_lib: DONE with packet: 1, SEQ: 246
I (49318) wifi_lib: DONE with packet: 2, SEQ: 246
I (49428) wifi_lib: DONE with packet: 1, SEQ: 247
I (49488) wifi_lib: DONE with packet: 2, SEQ: 247
I (49608) wifi_lib: DONE with packet: 1, SEQ: 248
I (49648) wifi_lib: DONE with packet: 2, SEQ: 248
I (49838) wifi_lib: DONE with packet: 1, SEQ: 249
I (49898) wifi_lib: DONE with packet: 2, SEQ: 249
I (50078) wifi_lib: DONE with packet: 1, SEQ: 250
I (50138) wifi_lib: DONE with packet: 2, SEQ: 250
I (50258) wifi_lib: DONE with packet: 1, SEQ: 251
I (50328) wifi_lib: DONE with packet: 2, SEQ: 251
I (50448) wifi_lib: DONE with packet: 1, SEQ: 252
I (50508) wifi_lib: DONE with packet: 2, SEQ: 252
I (50618) wifi_lib: DONE with packet: 1, SEQ: 253
I (50688) wifi_lib: DONE with packet: 2, SEQ: 253
I (50788) wifi_lib: DONE with packet: 1, SEQ: 254
I (50848) wifi_lib: DONE with packet: 2, SEQ: 254
I (50958) wifi_lib: DONE with packet: 1, SEQ: 255
I (51018) wifi_lib: DONE with packet: 2, SEQ: 255
I (51218) wifi_lib: DONE with packet: 1, SEQ: 256
I (51268) wifi_lib: DONE with packet: 2, SEQ: 256
I (51368) wifi_lib: DONE with packet: 1, SEQ: 257
I (51448) wifi_lib: DONE with packet: 2, SEQ: 257
I (51548) wifi_lib: DONE with packet: 1, SEQ: 258
I (51618) wifi_lib: DONE with packet: 2, SEQ: 258
I (51728) wifi_lib: DONE with packet: 1, SEQ: 259
I (51808) wifi_lib: DONE with packet: 2, SEQ: 259
I (51918) wifi_lib: DONE with packet: 1, SEQ: 260
I (51968) wifi_lib: DONE with packet: 2, SEQ: 260
I (52088) wifi_lib: DONE with packet: 1, SEQ: 261
I (52148) wifi_lib: DONE with packet: 2, SEQ: 261
I (52248) wifi_lib: DONE with packet: 1, SEQ: 262
I (52328) wifi_lib: DONE with packet: 2, SEQ: 262
I (52428) wifi_lib: DONE with packet: 1, SEQ: 263
I (52498) wifi_lib: DONE with packet: 2, SEQ: 263
I (52598) wifi_lib: DONE with packet: 1, SEQ: 264
I (52668) wifi_lib: DONE with packet: 2, SEQ: 264
I (52768) wifi_lib: DONE with packet: 1, SEQ: 265
I (52838) wifi_lib: DONE with packet: 2, SEQ: 265
I (52948) wifi_lib: DONE with packet: 1, SEQ: 266
I (53018) wifi_lib: DONE with packet: 2, SEQ: 266
I (53128) wifi_lib: DONE with packet: 1, SEQ: 267
I (53198) wifi_lib: DONE with packet: 2, SEQ: 267
I (53298) wifi_lib: DONE with packet: 1, SEQ: 268
I (53378) wifi_lib: DONE with packet: 2, SEQ: 268
I (53508) wifi_lib: DONE with packet: 1, SEQ: 269
I (53568) wifi_lib: DONE with packet: 2, SEQ: 269
I (53668) wifi_lib: DONE with packet: 1, SEQ: 270
I (53758) wifi_lib: DONE with packet: 2, SEQ: 270
I (53848) wifi_lib: DONE with packet: 1, SEQ: 271
I (53928) wifi_lib: DONE with packet: 2, SEQ: 271
I (54028) wifi_lib: DONE with packet: 1, SEQ: 272
I (54108) wifi_lib: DONE with packet: 2, SEQ: 272
I (54228) wifi_lib: DONE with packet: 1, SEQ: 273
I (54288) wifi_lib: DONE with packet: 2, SEQ: 273
I (54398) wifi_lib: DONE with packet: 1, SEQ: 274
I (54458) wifi_lib: DONE with packet: 2, SEQ: 274
I (54638) wifi_lib: DONE with packet: 1, SEQ: 275
I (54708) wifi_lib: DONE with packet: 2, SEQ: 275
I (54808) wifi_lib: DONE with packet: 1, SEQ: 276
I (54898) wifi_lib: DONE with packet: 2, SEQ: 276
I (54998) wifi_lib: DONE with packet: 1, SEQ: 277
I (55068) wifi_lib: DONE with packet: 2, SEQ: 277
I (55168) wifi_lib: DONE with packet: 1, SEQ: 278
I (55238) wifi_lib: DONE with packet: 2, SEQ: 278
I (55348) wifi_lib: DONE with packet: 1, SEQ: 279
I (55398) wifi_lib: DONE with packet: 2, SEQ: 279
I (55518) wifi_lib: DONE with packet: 1, SEQ: 280
I (55558) wifi_lib: DONE with packet: 2, SEQ: 280
I (55678) wifi_lib: DONE with packet: 1, SEQ: 281
I (55738) wifi_lib: DONE with packet: 2, SEQ: 281
I (55838) wifi_lib: DONE with packet: 1, SEQ: 282
I (55918) wifi_lib: DONE with packet: 2, SEQ: 282
I (56008) wifi_lib: DONE with packet: 1, SEQ: 283
I (56088) wifi_lib: DONE with packet: 2, SEQ: 283
I (56178) wifi_lib: DONE with packet: 1, SEQ: 284
I (56248) wifi_lib: DONE with packet: 2, SEQ: 284
I (56358) wifi_lib: DONE with packet: 1, SEQ: 285
I (56408) wifi_lib: DONE with packet: 2, SEQ: 285
I (56518) wifi_lib: DONE with packet: 1, SEQ: 286
I (56588) wifi_lib: DONE with packet: 2, SEQ: 286
I (56688) wifi_lib: DONE with packet: 1, SEQ: 287
I (56748) wifi_lib: DONE with packet: 2, SEQ: 287
I (56848) wifi_lib: DONE with packet: 1, SEQ: 288
I (56898) wifi_lib: DONE with packet: 2, SEQ: 288
I (57018) wifi_lib: DONE with packet: 1, SEQ: 289
I (57078) wifi_lib: DONE with packet: 2, SEQ: 289
I (57198) wifi_lib: DONE with packet: 1, SEQ: 290
I (57248) wifi_lib: DONE with packet: 2, SEQ: 290
I (57358) wifi_lib: DONE with packet: 1, SEQ: 291
I (57408) wifi_lib: DONE with packet: 2, SEQ: 291
I (57518) wifi_lib: DONE with packet: 1, SEQ: 292
I (57588) wifi_lib: DONE with packet: 2, SEQ: 292
I (57678) wifi_lib: DONE with packet: 1, SEQ: 293
I (57748) wifi_lib: DONE with packet: 2, SEQ: 293
I (57838) wifi_lib: DONE with packet: 1, SEQ: 294
I (57898) wifi_lib: DONE with packet: 2, SEQ: 294
I (57988) wifi_lib: DONE with packet: 1, SEQ: 295
I (58068) wifi_lib: DONE with packet: 2, SEQ: 295
I (58148) wifi_lib: DONE with packet: 1, SEQ: 296
I (58228) wifi_lib: DONE with packet: 2, SEQ: 296
I (58328) wifi_lib: DONE with packet: 1, SEQ: 297
I (58408) wifi_lib: DONE with packet: 2, SEQ: 297
I (58508) wifi_lib: DONE with packet: 1, SEQ: 298
I (58578) wifi_lib: DONE with packet: 2, SEQ: 298
I (58688) wifi_lib: DONE with packet: 1, SEQ: 299
I (58748) wifi_lib: DONE with packet: 2, SEQ: 299
I (58858) wifi_lib: DONE with packet: 1, SEQ: 300
I (58918) wifi_lib: DONE with packet: 2, SEQ: 300
I (59028) wifi_lib: DONE with packet: 1, SEQ: 301
I (59088) wifi_lib: DONE with packet: 2, SEQ: 301
I (59198) wifi_lib: DONE with packet: 1, SEQ: 302
I (59248) wifi_lib: DONE with packet: 2, SEQ: 302
I (59358) wifi_lib: DONE with packet: 1, SEQ: 303
I (59398) wifi_lib: DONE with packet: 2, SEQ: 303
I (59508) wifi_lib: DONE with packet: 1, SEQ: 304
I (59538) wifi_lib: DONE with packet: 2, SEQ: 304
I (59638) wifi_lib: DONE with packet: 1, SEQ: 305
I (59688) wifi_lib: DONE with packet: 2, SEQ: 305
I (59798) wifi_lib: DONE with packet: 1, SEQ: 306
I (59848) wifi_lib: DONE with packet: 2, SEQ: 306
I (59948) wifi_lib: DONE with packet: 1, SEQ: 307
I (60018) wifi_lib: DONE with packet: 2, SEQ: 307
I (60108) wifi_lib: DONE with packet: 1, SEQ: 308
I (60178) wifi_lib: DONE with packet: 2, SEQ: 308
I (60268) wifi_lib: DONE with packet: 1, SEQ: 309
I (60318) wifi_lib: DONE with packet: 2, SEQ: 309
